question;SAT;ACT_even;ACT_odd 
question_1001.tex;B;G;B 
question_1002.tex;D;J;D 
question_1003.tex;B;G;B 
question_1004.tex;A;F;A 
question_1005.tex;C;H;C 
question_1006.tex;D;J;D 
question_1007.tex;A;F;A 
question_1008.tex;D;J;D 
question_1009.tex;C;H;C 
question_1010.tex;A;F;A 
question_1011.tex;B;G;B 
question_1012.tex;C;H;C 
question_1013.tex;B;G;B 
question_1014.tex;B;G;B 
question_1015.tex;B;G;B 
question_1016.tex;7;7;7 
question_1017.tex;$175$ feet;$175$ feet;$175$ feet 
question_1018.tex;Either $6$ or $8$.;Either $6$ or $8$.;Either $6$ or $8$. 
question_1019.tex;2;2;2 
question_1020.tex;$144$;$144$;$144$ 
question_1021.tex;B;G;B 
question_1022.tex;C;H;C 
question_1023.tex;D;J;D 
question_1024.tex;D;J;D 
question_1025.tex;A;F;A 
question_1026.tex;B;G;B 
question_1027.tex;A;F;A 
question_1028.tex;C;H;C 
question_1029.tex;C;H;C 
question_1030.tex;D;J;D 
question_1031.tex;B;G;B 
question_1032.tex;A;F;A 
question_1033.tex;A;F;A 
question_1034.tex;D;J;D 
question_1035.tex;C;H;C 
question_1036.tex;Any integer from $10$ to $14$ inclusive.;Any integer from $10$ to $14$ inclusive.;Any integer from $10$ to $14$ inclusive. 
question_1037.tex;$20$;$20$;$20$ 
question_1038.tex;$40$;$40$;$40$ 
question_1039.tex;$\frac{5}{6}$ or $.833$;$\frac{5}{6}$ or $.833$;$\frac{5}{6}$ or $.833$ 
question_1040.tex;$3$;$3$;$3$ 
question_1041.tex;D;J;D 
question_1042.tex;D;J;D 
question_1043.tex;C;H;C 
question_1044.tex;C;H;C 
question_1045.tex;C;H;C 
question_1046.tex;A;F;A 
question_1047.tex;B;G;B 
question_1048.tex;D;J;D 
question_1049.tex;D;J;D 
question_1050.tex;A;F;A 
question_1051.tex;D;J;D 
question_1052.tex;D;J;D 
question_1053.tex;A;F;A 
question_1054.tex;B;G;B 
question_1055.tex;B;G;B 
question_1056.tex;$1$ or $9$;$1$ or $9$;$1$ or $9$ 
question_1057.tex;$5$;$5$;$5$ 
question_1058.tex;$40$;$40$;$40$ 
question_1059.tex;$480$;$480$;$480$ 
question_1060.tex;$\frac{3}{5}$ or $0.6$;$\frac{3}{5}$ or $0.6$;$\frac{3}{5}$ or $0.6$ 
question_1061.tex;A;F;A 
question_1062.tex;B;G;B 
question_1063.tex;B;G;B 
question_1064.tex;B;G;B 
question_1065.tex;C;H;C 
question_1066.tex;C;H;C 
question_1067.tex;C;H;C 
question_1068.tex;A;F;A 
question_1069.tex;A;F;A 
question_1070.tex;C;H;C 
question_1071.tex;A;F;A 
question_1072.tex;A;F;A 
question_1073.tex;C;H;C 
question_1074.tex;A;F;A 
question_1075.tex;B;G;B 
question_1076.tex;$22$;$22$;$22$ 
question_1077.tex;$\frac{4}{5}$ or $0.8$;$\frac{4}{5}$ or $0.8$;$\frac{4}{5}$ or $0.8$ 
question_1078.tex;$7$;$7$;$7$ 
question_1079.tex;$\frac{5}{6}$ or $.833$;$\frac{5}{6}$ or $.833$;$\frac{5}{6}$ or $.833$ 
question_1080.tex;3.23;3.23;3.23 
question_1081.tex;D;J;D 
question_1082.tex;B;G;B 
question_1083.tex;A;F;A 
question_1084.tex;D;J;D 
question_1085.tex;B;G;B 
question_1086.tex;D;J;D 
question_1087.tex;D;J;D 
question_1088.tex;D;J;D 
question_1089.tex;A;F;A 
question_1090.tex;C;H;C 
question_1091.tex;C;H;C 
question_1092.tex;B;G;B 
question_1093.tex;A;F;A 
question_1094.tex;A;F;A 
question_1095.tex;B;G;B 
question_1096.tex;$5.4$;$5.4$;$5.4$ 
question_1097.tex;$\frac{1}{4}$ or $.25$;$\frac{1}{4}$ or $.25$;$\frac{1}{4}$ or $.25$ 
question_1098.tex;$15$ or $45$;$15$ or $45$;$15$ or $45$ 
question_1099.tex;$162$;$162$;$162$ 
question_1100.tex;$\frac{15}{8}$;$\frac{15}{8}$;$\frac{15}{8}$ 
question_1101.tex;A;F;A 
question_1102.tex;A;F;A 
question_1103.tex;D;J;D 
question_1104.tex;C;H;C 
question_1105.tex;D;J;D 
question_1106.tex;D;J;D 
question_1107.tex;C;H;C 
question_1108.tex;C;H;C 
question_1109.tex;B;G;B 
question_1110.tex;B;G;B 
question_1111.tex;D;J;D 
question_1112.tex;C;H;C 
question_1113.tex;B;G;B 
