question,SAT,ACT_even,ACT_odd 
question_2001.tex,D,K,E 
question_2002.tex,D,K,E 
question_2003.tex,A,F,A 
question_2004.tex,C,H,C 
question_2005.tex,A,F,A 
question_2006.tex,D,K,E 
question_2007.tex,B,G,B 
question_2008.tex,D,K,E 
question_2009.tex,A,G,B 
question_2010.tex,C,J,D 
question_2011.tex,C,J,D 
question_2012.tex,D,J,D 
question_2013.tex,C,H,C 
question_2014.tex,C,H,C 
question_2015.tex,A,F,A 
question_2016.tex,C,J,D 
question_2017.tex,C,J,D 
question_2018.tex,C,H,C 
question_2019.tex,B,H,C 
question_2020.tex,D,K,E 
question_2021.tex,D,K,E 
question_2022.tex,C,J,D 
question_2023.tex,C,J,D 
question_2024.tex,D,K,E 
question_2025.tex,D,K,E 
question_2026.tex,B,H,C 
question_2027.tex,B,H,C 
question_2028.tex,A,F,A 
question_2029.tex,B,G,B 
question_2030.tex,D,K,E 
question_2031.tex,D,K,E 
question_2032.tex,C,J,D 
question_2033.tex,A,F,A 
question_2034.tex,A,F,A 
question_2035.tex,B,G,B 
question_2036.tex,D,K,E 
question_2037.tex,D,J,D 
question_2038.tex,B,H,C 
question_2039.tex,D,K,E 
question_2040.tex,C,J,D 
question_2041.tex,B,H,C 
question_2042.tex,B,G,B 
question_2043.tex,D,K,E 
question_2044.tex,D,J,D 
question_2045.tex,B,H,C 
question_2046.tex,A,F,A 
question_2047.tex,B,H,C 
question_2048.tex,B,G,B 
question_2049.tex,D,K,E 
question_2050.tex,D,J,D 
question_2051.tex,C,J,D 
question_2052.tex,D,K,E 
question_2053.tex,B,H,C 
question_2054.tex,A,F,A 
question_2055.tex,A,F,A 
question_2056.tex,A,G,B 
question_2057.tex,A,F,A 
question_2058.tex,D,J,D 
question_2059.tex,C,J,D 
question_2060.tex,D,J,D 
question_2061.tex,C,J,D 
question_2062.tex,B,G,B 
question_2063.tex,B,G,B 
question_2064.tex,B,H,C 
question_2065.tex,D,K,E 
question_2066.tex,D,J,D 
question_2067.tex,C,J,D 
question_2068.tex,C,H,C 
question_2069.tex,C,J,D 
question_2070.tex,A,F,A 
question_2071.tex,B,G,B 
question_2072.tex,B,H,C 
question_2073.tex,B,H,C 
question_2074.tex,D,K,E 
question_2075.tex,C,J,D 
question_2076.tex,D,K,E 
question_2077.tex,B,G,B 
question_2078.tex,A,F,A 
question_2079.tex,D,K,E 
question_2080.tex,B,G,B 
question_2081.tex,D,K,E 
question_2082.tex,C,J,D 
question_2083.tex,C,J,D 
question_2084.tex,B,H,C 
question_2085.tex,C,J,D 
question_2086.tex,D,K,E 
question_2087.tex,D,K,E 
question_2088.tex,B,H,C 
question_2089.tex,C,J,D 
question_2090.tex,C,J,D 
question_2091.tex,D,K,E 
question_2092.tex,A,F,A 
question_2093.tex,B,H,C 
question_2094.tex,B,G,B 
question_2095.tex,D,J,D 
question_2096.tex,B,G,B 
question_2097.tex,C,H,C 
question_2098.tex,C,H,C 
question_2099.tex,C,J,D 
question_2100.tex,B,H,C 
question_2101.tex,C,J,D 
question_2102.tex,C,J,D 
question_2103.tex,C,H,C 
question_2104.tex,D,K,E 
question_2105.tex,D,J,D 
question_2106.tex,C,H,C 
question_2107.tex,A,F,A 
question_2108.tex,D,K,E 
question_2109.tex,C,J,D 
question_2110.tex,A,F,A 
question_2111.tex,D,J,D 
question_2112.tex,D,J,D 
question_2113.tex,B,H,C 
question_2114.tex,C,J,D 
question_2115.tex,D,K,E 
question_2116.tex,D,K,E 
question_2117.tex,B,H,C 
question_2118.tex,C,H,C 
question_2119.tex,B,G,B 
question_2120.tex,C,H,C 
question_2121.tex,D,K,E 
question_2122.tex,D,K,E 
question_2123.tex,C,H,C 
question_2124.tex,C,H,C 
question_2125.tex,B,H,C 
question_2126.tex,D,K,E 
question_2127.tex,C,J,D 
question_2128.tex,C,J,D 
question_2129.tex,A,F,A 
question_2130.tex,C,J,D 
question_2131.tex,C,H,C 
question_2132.tex,B,G,B 
question_2133.tex,D,K,E 
question_2134.tex,D,K,E 
question_2135.tex,D,K,E 
question_2136.tex,A,F,A 
question_2137.tex,C,H,C 
question_2138.tex,C,J,D 
question_2139.tex,B,G,B 
question_2140.tex,D,J,D 
question_2141.tex,B,G,B 
question_2142.tex,D,K,E 
question_2143.tex,C,J,D 
question_2144.tex,C,J,D 
question_2145.tex,B,G,B 
question_2146.tex,B,G,B 
question_2147.tex,A,F,A 
question_2148.tex,C,J,D 
question_2149.tex,B,G,B 
question_2150.tex,C,J,D 
question_2151.tex,C,J,D 
question_2152.tex,A,F,A 
question_2153.tex,B,G,B 
question_2154.tex,D,K,E 
question_2155.tex,D,K,E 
question_2156.tex,C,H,C 
question_2157.tex,A,G,B 
question_2158.tex,D,J,D 
question_2159.tex,C,J,D 
question_2160.tex,A,F,A 
question_2161.tex,B,G,B 
question_2162.tex,B,H,C 
question_2163.tex,D,K,E 
question_2164.tex,B,G,B 
question_2165.tex,D,K,E 
question_2166.tex,B,H,C 
question_2167.tex,D,K,E 
question_2168.tex,B,G,B 
question_2169.tex,D,J,D 
question_2170.tex,A,G,B 
question_2171.tex,C,H,C 
question_2172.tex,B,G,B 
question_2173.tex,D,J,D 
question_2174.tex,B,G,B 
question_2175.tex,D,K,E 
question_2176.tex,C,J,D 
question_2177.tex,C,H,C 
question_2178.tex,C,J,D 
question_2179.tex,D,K,E 
question_2180.tex,B,G,B 
question_2181.tex,C,H,C 
question_2182.tex,C,J,D 
question_2183.tex,B,H,C 
question_2184.tex,D,K,E 
question_2185.tex,B,G,B 
question_2186.tex,A,F,A 
question_2187.tex,D,K,E 
question_2188.tex,B,G,B 
question_2189.tex,A,F,A 
question_2190.tex,C,J,D 
question_2191.tex,D,K,E 
question_2192.tex,A,F,A 
question_2193.tex,C,J,D 
question_2194.tex,A,F,A 
